Periodo,"1.Bonos en pesos a 10 años  (BCP,BTP)"
15.Jul.2004,6.50
16.Jul.2004,6.41
19.Jul.2004,6.41
20.Jul.2004,6.41
21.Jul.2004,6.41
22.Jul.2004,6.41
23.Jul.2004,6.41
26.Jul.2004,6.41
27.Jul.2004,6.41
28.Jul.2004,6.41
29.Jul.2004,6.50
30.Jul.2004,6.49
02.Aug.2004,6.48
03.Aug.2004,6.45
04.Aug.2004,6.45
05.Aug.2004,6.50
06.Aug.2004,6.49
09.Aug.2004,6.48
10.Aug.2004,6.48
11.Aug.2004,6.48
12.Aug.2004,6.48
13.Aug.2004,6.48
16.Aug.2004,6.46
17.Aug.2004,6.41
18.Aug.2004,6.33
19.Aug.2004,6.30
20.Aug.2004,6.25
23.Aug.2004,6.25
24.Aug.2004,6.10
25.Aug.2004,6.05
26.Aug.2004,5.98
27.Aug.2004,5.92
30.Aug.2004,5.95
31.Aug.2004,5.94
01.Sep.2004,5.96
02.Sep.2004,6.00
03.Sep.2004,5.99
06.Sep.2004,5.99
07.Sep.2004,6.00
08.Sep.2004,6.00
09.Sep.2004,6.09
10.Sep.2004,6.08
13.Sep.2004,6.08
14.Sep.2004,6.10
15.Sep.2004,6.09
16.Sep.2004,6.09
17.Sep.2004,
20.Sep.2004,6.09
21.Sep.2004,6.09
22.Sep.2004,6.09
23.Sep.2004,6.34
24.Sep.2004,6.42
27.Sep.2004,6.55
28.Sep.2004,6.58
29.Sep.2004,6.58
30.Sep.2004,6.58
01.Oct.2004,6.58
04.Oct.2004,6.61
05.Oct.2004,6.61
06.Oct.2004,6.66
07.Oct.2004,6.75
08.Oct.2004,6.65
11.Oct.2004,
12.Oct.2004,6.67
13.Oct.2004,6.67
14.Oct.2004,6.58
15.Oct.2004,6.50
18.Oct.2004,6.48
19.Oct.2004,6.51
20.Oct.2004,6.52
21.Oct.2004,6.52
22.Oct.2004,6.56
25.Oct.2004,6.53
26.Oct.2004,6.53
27.Oct.2004,6.52
28.Oct.2004,6.49
29.Oct.2004,6.43
01.Nov.2004,
02.Nov.2004,6.43
03.Nov.2004,6.40
04.Nov.2004,6.33
05.Nov.2004,6.25
08.Nov.2004,6.20
09.Nov.2004,6.20
10.Nov.2004,6.27
11.Nov.2004,6.36
12.Nov.2004,6.26
15.Nov.2004,6.14
16.Nov.2004,6.18
17.Nov.2004,6.15
18.Nov.2004,6.04
19.Nov.2004,
22.Nov.2004,6.05
23.Nov.2004,6.05
24.Nov.2004,6.11
25.Nov.2004,6.10
26.Nov.2004,6.12
29.Nov.2004,6.09
30.Nov.2004,6.08
01.Dec.2004,6.10
02.Dec.2004,6.02
03.Dec.2004,6.09
06.Dec.2004,6.04
07.Dec.2004,6.04
08.Dec.2004,
09.Dec.2004,6.03
10.Dec.2004,6.03
13.Dec.2004,5.95
14.Dec.2004,5.94
15.Dec.2004,5.99
16.Dec.2004,6.06
17.Dec.2004,6.05
20.Dec.2004,6.03
21.Dec.2004,5.97
22.Dec.2004,5.95
23.Dec.2004,5.98
24.Dec.2004,5.98
27.Dec.2004,5.98
28.Dec.2004,5.98
29.Dec.2004,5.95
30.Dec.2004,5.95
31.Dec.2004,
03.Jan.2005,5.95
04.Jan.2005,5.86
05.Jan.2005,5.88
06.Jan.2005,5.94
07.Jan.2005,5.96
10.Jan.2005,6.00
11.Jan.2005,6.01
12.Jan.2005,6.01
13.Jan.2005,6.00
14.Jan.2005,5.97
17.Jan.2005,5.95
18.Jan.2005,6.00
19.Jan.2005,6.00
20.Jan.2005,6.00
21.Jan.2005,6.00
24.Jan.2005,5.95
25.Jan.2005,5.95
26.Jan.2005,5.92
27.Jan.2005,6.00
28.Jan.2005,6.00
31.Jan.2005,6.05
01.Feb.2005,6.05
02.Feb.2005,6.00
03.Feb.2005,6.00
04.Feb.2005,6.00
07.Feb.2005,5.96
08.Feb.2005,5.96
09.Feb.2005,5.95
10.Feb.2005,5.95
11.Feb.2005,5.92
14.Feb.2005,5.92
15.Feb.2005,5.90
16.Feb.2005,5.85
17.Feb.2005,5.83
18.Feb.2005,5.83
21.Feb.2005,5.83
22.Feb.2005,5.87
23.Feb.2005,5.87
24.Feb.2005,5.87
