,index,DATE,BAMLEMRLCRPILAOAS,Date,Inv_spread
0,0,2000-01-03,4.94,2000-01-03,0.20242914979757085
1,1,2000-01-04,5.02,2000-01-04,0.19920318725099603
2,2,2000-01-05,5.0,2000-01-05,0.2
3,3,2000-01-06,5.05,2000-01-06,0.19801980198019803
4,4,2000-01-07,5.07,2000-01-07,0.1972386587771203
5,5,2000-01-10,5.02,2000-01-10,0.19920318725099603
6,6,2000-01-11,4.97,2000-01-11,0.2012072434607646
7,7,2000-01-12,4.97,2000-01-12,0.2012072434607646
8,8,2000-01-13,5.0,2000-01-13,0.2
9,9,2000-01-14,4.93,2000-01-14,0.20283975659229211
10,10,2000-01-17,4.94,2000-01-17,0.20242914979757085
11,11,2000-01-18,4.86,2000-01-18,0.20576131687242796
12,12,2000-01-19,4.86,2000-01-19,0.20576131687242796
13,13,2000-01-20,4.8,2000-01-20,0.20833333333333334
14,14,2000-01-21,4.79,2000-01-21,0.20876826722338204
15,15,2000-01-24,4.85,2000-01-24,0.2061855670103093
16,16,2000-01-25,4.85,2000-01-25,0.2061855670103093
17,17,2000-01-26,4.82,2000-01-26,0.20746887966804978
18,18,2000-01-27,4.76,2000-01-27,0.21008403361344538
19,19,2000-01-28,4.76,2000-01-28,0.21008403361344538
20,20,2000-01-31,4.82,2000-01-31,0.20746887966804978
21,21,2000-02-01,4.86,2000-02-01,0.20576131687242796
22,22,2000-02-02,4.83,2000-02-02,0.20703933747412007
23,23,2000-02-03,4.79,2000-02-03,0.20876826722338204
24,24,2000-02-04,4.62,2000-02-04,0.21645021645021645
25,25,2000-02-07,4.48,2000-02-07,0.2232142857142857
26,26,2000-02-08,4.48,2000-02-08,0.2232142857142857
27,27,2000-02-09,4.41,2000-02-09,0.22675736961451246
28,28,2000-02-10,4.37,2000-02-10,0.22883295194508008
29,29,2000-02-11,4.38,2000-02-11,0.22831050228310504
30,30,2000-02-14,4.44,2000-02-14,0.2252252252252252
31,31,2000-02-15,4.25,2000-02-15,0.23529411764705882
32,32,2000-02-16,4.27,2000-02-16,0.234192037470726
33,33,2000-02-17,4.22,2000-02-17,0.23696682464454977
34,34,2000-02-18,4.28,2000-02-18,0.2336448598130841
35,35,2000-02-21,4.29,2000-02-21,0.2331002331002331
36,36,2000-02-22,4.38,2000-02-22,0.22831050228310504
37,37,2000-02-23,4.27,2000-02-23,0.234192037470726
38,38,2000-02-24,4.34,2000-02-24,0.2304147465437788
39,39,2000-02-25,4.35,2000-02-25,0.2298850574712644
40,40,2000-02-28,4.26,2000-02-28,0.2347417840375587
41,41,2000-02-29,4.16,2000-02-29,0.24038461538461536
42,42,2000-03-01,4.19,2000-03-01,0.2386634844868735
43,43,2000-03-02,4.13,2000-03-02,0.24213075060532688
44,44,2000-03-03,4.14,2000-03-03,0.24154589371980678
45,45,2000-03-06,4.06,2000-03-06,0.24630541871921185
46,46,2000-03-07,4.02,2000-03-07,0.24875621890547267
47,47,2000-03-08,4.01,2000-03-08,0.24937655860349128
48,48,2000-03-09,4.0,2000-03-09,0.25
49,49,2000-03-10,3.96,2000-03-10,0.25252525252525254
50,50,2000-03-13,4.01,2000-03-13,0.24937655860349128
51,51,2000-03-14,4.07,2000-03-14,0.24570024570024568
52,52,2000-03-15,4.14,2000-03-15,0.24154589371980678
53,53,2000-03-16,4.16,2000-03-16,0.24038461538461536
